Ministry,Subcategory,LineItem,Amount_thousands_ISK,Year,normalized_category
,,=== PAGE 1 ===,1.0,,Misc/Missing
,,=== PAGE 2 ===,2.0,,Misc/Missing
,,0 talan er minni en helmingur þeirrar einingar sem notuð er,0.0,,Misc/Missing
,,ISBN 9979-890-16-9,9.0,,Misc/Missing
,,=== PAGE 3 ===,3.0,,Misc/Missing
,,Inngangsorð fjármálaráðherra ....... 5,5.0,,Misc/Missing
,,Uppgjör og afkoma ríkissjóðs 2002. 7,7.0,,Misc/Missing
,,Áritun fjármálaráðherra og fjársýslustjóra ..... 17,17.0,,Misc/Missing
,,Áritun ríkisendurskoðandia .. 19,19.0,,Misc/Missing
,,Yfirlitsreikningur A-hluta ríkissjóðs 21,21.0,,Misc/Missing
,,Rekstrarreikningur 22,22.0,,Misc/Missing
,,Efnahagsreikningur 23,23.0,,Misc/Missing
,,Sjóðstreymi 24,24.0,,Misc/Missing
,,Skýringar með reikningi A-hluta ríkissjóðs 25,25.0,,Misc/Missing
,,1. Ríkisreikningur og reikningsskilareglur ríkisaðila 27,27.0,,Misc/Missing
,,2. Tekjujöfnuður og lánsfjárþörf A-hluta ríkissjóðs 30,30.0,,Misc/Missing
,,3. Tekjur A-hluta ríkissjóðs 3,3.0,,Misc/Missing
,,4. Skattar á tekjur einstaklinga 33,33.0,,Misc/Missing
,,5. Skattar á tekjur lögaðila.. FRA 34,34.0,,Misc/Missing
,,"6. Skattar á tekjur og hagnað, 35",35.0,,Misc/Missing
,,7. Tryggingagjöld 36,36.0,,Misc/Missing
,,8. Eignarskattar. 37,37.0,,Misc/Missing
,,9. Virðisaukaskattur ..... 38,38.0,,Misc/Missing
,,10. Vörugjöld og aðrir sértækir veltuskattar 39,39.0,,Misc/Missing
,,11. Aðrir skattar á vöru og þjónustu 40,40.0,,Misc/Missing
,,12. Skattar ótaldir annars staðar 41,41.0,,Misc/Missing
,,13. Arðgreiðslur 41,41.0,,Misc/Missing
,,14. Vextir og aðrar eignatekjur. 42,42.0,,Misc/Missing
,,15. Neyslu- og leyfisgjöld 42,42.0,,Misc/Missing
,,16. Sektir. 43,43.0,,Misc/Missing
,,17. Sala eigna 43,43.0,,Misc/Missing
,,18. Fjárframlög... EN 44,44.0,,Misc/Missing
,,19. Gjöld A-hluta ríkissjóðs... 45,45.0,,Misc/Missing
,,20. Gjöld æðstu stjórnar ríkisins. 49,49.0,,Misc/Missing
28. Gjöld heilbrigðis- og tryggingamálaráðuneytis 57,,=== PAGE 4 ===,4.0,,nan
32. Gjöld viðskiptaráðuneytis 66,,33. Gjöld Hagstofu Íslands .... 67,67.0,,nan
34. Gjöld umhverfisráðuneytis 68,,35. Fjármagnskostnaður 69,69.0,,nan
34. Gjöld umhverfisráðuneytis 68,,36. Hlutabréf og eignarhlutir í fyrirtækjum 70,70.0,,nan
34. Gjöld umhverfisráðuneytis 68,,37. Erlent stofnfé 72,72.0,,nan
34. Gjöld umhverfisráðuneytis 68,,38. Veitt löng lán.... 73,73.0,,nan
34. Gjöld umhverfisráðuneytis 68,,39. Vöru- og efnisbirgðir 74,74.0,,nan
34. Gjöld umhverfisráðuneytis 68,,40. Óinnheimtar ríkistekjur 74,74.0,,nan
34. Gjöld umhverfisráðuneytis 68,,"41. Skammtímakröfur, aðrar 75",75.0,,nan
34. Gjöld umhverfisráðuneytis 68,,"42. Handbært fé, nettó... 76",76.0,,nan
34. Gjöld umhverfisráðuneytis 68,,43. Höfuðstóll .... 77,77.0,,nan
34. Gjöld umhverfisráðuneytis 68,,44. Lífeyrisskuldbindingar....... 79,79.0,,nan
34. Gjöld umhverfisráðuneytis 68,,"45. Áfallnir ógjaldfallnir vextir, langtímaskuldir 80",80.0,,nan
34. Gjöld umhverfisráðuneytis 68,,46. Tekin löng lán... st,46.0,,nan
34. Gjöld umhverfisráðuneytis 68,,47. Krafa á ríkistekjur 83,83.0,,nan
34. Gjöld umhverfisráðuneytis 68,,48. Ógreidd gjöld (án vaxta) 83,83.0,,nan
34. Gjöld umhverfisráðuneytis 68,,"49. Áfallnir ógjaldfallnir vextir, skammtímaskuldir. 84",84.0,,nan
34. Gjöld umhverfisráðuneytis 68,,50. Tekin stutt lán ........ 84,84.0,,nan
34. Gjöld umhverfisráðuneytis 68,,51. Aðrar skammtímaskuldir 85,85.0,,nan
34. Gjöld umhverfisráðuneytis 68,,Séryfirlit .. a 87,87.0,,nan
34. Gjöld umhverfisráðuneytis 68,,1. Tekjur ríkissjóðs — sundurliðun .... 89,89.0,,nan
34. Gjöld umhverfisráðuneytis 68,,2. Gjöld ráðuneyta og stofnana eftir málaflokkum 94,94.0,,nan
34. Gjöld umhverfisráðuneytis 68,,3. Afkoma og höfuðstóll ráðuneyta og stofnana 111,111.0,,nan
34. Gjöld umhverfisráðuneytis 68,,4. Heildarfjárheimildir ársins hjá ráðuneytum og stofnunum. 122,122.0,,nan
34. Gjöld umhverfisráðuneytis 68,,5. Millifærslur fjárheimilda innan A-hluta 134,134.0,,nan
34. Gjöld umhverfisráðuneytis 68,,6. Skattastyrkir eftir skatttegundum 152,152.0,,nan
34. Gjöld umhverfisráðuneytis 68,,7. Skattastyrkir eftir málaflokkum 153,153.0,,nan
34. Gjöld umhverfisráðuneytis 68,,8. Markaðar tekjur rétthafa 154,154.0,,nan
34. Gjöld umhverfisráðuneytis 68,,9. Sala eigna 158,158.0,,nan
34. Gjöld umhverfisráðuneytis 68,,10. Veitt og tekin lán A-hluta 160,160.0,,nan
